dmim_id,plate_id,annotation,adduct,smi,met_n,mz,ccs_avg,ccs_rsd,ccs_r1,ccs_r2,ccs_r3
"DMIM00023","p1A06","PIRENZEPINE","[M+Na]+","CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4",0,374.1593,190.48,0.04,190.48,190.58,190.38
"DMIM00024","p1A06","PIRENZEPINE","[M+K]+","CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4",0,390.1332,187.76,0.18,187.29,188.11,187.87
"DMIM00025","p1A06","PIRENZEPINE","[M+H-H2O]+","CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4",0,334.1667,172.88,0.40,171.93,173.18,173.54
"DMIM00027","p1A07","FENSPIRIDE","[M+Na]+","C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3",0,283.1423,157.38,0.05,157.47,157.38,157.29
"DMIM00028","p1A07","FENSPIRIDE","[M+K]+","C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3",0,299.1162,159.89,0.24,159.37,160.29,160.01
"DMIM00029","p1A07","FENSPIRIDE","[M+H-H2O]+","C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3",0,243.1497,150.33,0.31,150.53,150.77,149.69
"DMIM00030","p1A08","PRAMOXINE","[M+H]+","CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2",0,294.2069,177.42,0.03,177.40,177.38,177.48
"DMIM00031","p1A08","PRAMOXINE","[M+K]+","CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2",0,332.1628,174.13,0.61,172.64,175.04,174.70
"DMIM00032","p1A08","PRAMOXINE","[M+H-H2O]+","CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2",0,276.1963,160.85,1.07,163.29,159.65,159.60
"DMIM00039","p1A11","MECLIZINE","[M+H]+","CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl",0,391.1941,204.44,0.03,204.39,204.38,204.53
"DMIM00040","p1A11","MECLIZINE","[M+Na]+","CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl",0,413.1761,184.22,0.06,184.36,184.12,184.18
"DMIM00041","p1A11","MECLIZINE","[M+K]+","CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl",0,429.1500,188.29,0.47,187.12,188.52,189.23
"DMIM00042","p1A11","MECLIZINE","[M+H-H2O]+","CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl",0,373.1835,182.41,1.86,177.63,185.21,184.41
"DMIM00043","p1A12","SULFACHLORPYRIDAZINE","[M+H]+","C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl",0,285.0213,156.82,0.07,156.81,156.69,156.95
"DMIM00044","p1A12","SULFACHLORPYRIDAZINE","[M+Na]+","C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl",0,307.0033,165.69,0.07,165.61,165.61,165.84
"DMIM00045","p1A12","SULFACHLORPYRIDAZINE","[M+H-H2O]+","C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl",0,267.0107,150.68,0.46,151.65,150.19,150.19
"DMIM00047","p1A13","MECLOFENAMATE","[M+H]+","CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl",0,296.0245,155.91,0.09,155.74,155.90,156.09
"DMIM00048","p1A13","MECLOFENAMATE","[M+Na]+","CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl",0,318.0065,166.71,0.16,166.37,166.74,167.03
"DMIM00049","p1A13","MECLOFENAMATE","[M+K]+","CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl",0,333.9804,169.79,0.21,169.79,170.23,169.36
"DMIM00050","p1A13","MECLOFENAMATE","[M+H-H2O]+","CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl",0,278.0139,150.51,0.08,150.46,150.40,150.66
"DMIM00057","p1A14","SULFADIMETHOXINE","[M+H]+","COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC",0,311.0814,166.35,0.09,166.22,166.25,166.56
"DMIM00058","p1A14","SULFADIMETHOXINE","[M+Na]+","COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC",0,333.0634,173.09,0.07,172.94,173.08,173.25
"DMIM00059","p1A14","SULFADIMETHOXINE","[M+K]+","COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC",0,349.0373,173.65,0.07,173.68,173.50,173.78
"DMIM00060","p1A14","SULFADIMETHOXINE","[M+H-H2O]+","COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC",0,293.0708,159.15,0.10,158.93,159.33,159.19
"DMIM00065","p1A15","MEDRYSONE","[M+H]+","C[C@H]1C[C@H]2[C@@H]3CC[C@@H]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)CC4)C)O)C)C(=O)C",0,345.2429,182.09,0.08,182.22,181.87,182.18
"DMIM00066","p1A15","MEDRYSONE","[M+Na]+","C[C@H]1C[C@H]2[C@@H]3CC[C@@H]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)CC4)C)O)C)C(=O)C",0,367.2249,207.51,0.12,207.67,207.15,207.70
"DMIM00067","p1A15","MEDRYSONE","[M+H-H2O]+","C[C@H]1C[C@H]2[C@@H]3CC[C@@H]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)CC4)C)O)C)C(=O)C",0,327.2323,177.09,0.22,177.64,176.74,176.89
"DMIM00068","p1A18","SULFAMONOMETHOXINE","[M+H]+","COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,281.0708,158.20,0.07,158.32,158.05,158.24
"DMIM00069","p1A18","SULFAMONOMETHOXINE","[M+Na]+","COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,303.0528,167.68,0.04,167.78,167.61,167.64
"DMIM00070","p1A18","SULFAMONOMETHOXINE","[M+H-H2O]+","COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,263.0602,153.36,0.38,154.18,152.82,153.08
"DMIM00072","p1A19","MELPHALAN","[M+Na]+","C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl",0,327.0643,166.42,0.59,167.80,165.89,165.57
"DMIM00073","p1A19","MELPHALAN","[M+K]+","C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl",0,343.0382,167.60,0.04,167.69,167.51,167.60
"DMIM00074","p1A19","MELPHALAN","[M+H-H2O]+","C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl",0,287.0717,158.84,0.42,157.91,159.11,159.49
"DMIM00075","p1A20","SULCONAZOLE","[M+H]+","C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl",0,397.0100,183.06,0.06,182.93,183.05,183.20
"DMIM00076","p1A20","SULCONAZOLE","[M+Na]+","C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl",0,418.9920,189.92,0.12,189.65,189.91,190.21
"DMIM00080","p1A21","MESTRANOL","[M+H]+","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC",0,311.2011,168.07,0.31,167.75,167.65,168.80
"DMIM00081","p1A21","MESTRANOL","[M+Na]+","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC",0,333.1831,172.10,0.06,172.23,172.00,172.07
"DMIM00082","p1A21","MESTRANOL","[M+K]+","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC",0,349.1570,176.21,0.61,174.71,176.79,177.13
"DMIM00083","p1A21","MESTRANOL","[M+H-H2O]+","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC",0,293.1905,165.24,0.11,165.47,165.01,165.23
"DMIM00084","p1A22","RITODRINE","[M+H]+","C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O",0,288.1599,165.17,0.11,164.91,165.32,165.29
"DMIM00085","p1A22","RITODRINE","[M+K]+","C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O",0,326.1158,168.33,0.90,166.20,169.51,169.28
"DMIM00086","p1A22","RITODRINE","[M+H-H2O]+","C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O",0,270.1493,161.70,0.03,161.76,161.65,161.67
"DMIM00090","p1B06","TESTOSTERONE","[M+H]+","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C",0,289.2167,169.13,0.08,168.98,169.12,169.30
"DMIM00091","p1B06","TESTOSTERONE","[M+Na]+","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C",0,311.1987,194.07,0.07,193.94,194.02,194.25
"DMIM00092","p1B06","TESTOSTERONE","[M+K]+","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C",0,327.1726,167.69,0.16,168.08,167.50,167.50
"DMIM00093","p1B06","TESTOSTERONE","[M+H-H2O]+","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C",0,271.2061,169.40,4.43,180.00,164.04,164.16
"DMIM00094","p1B07","ERYTHROMYCIN","[M+H]+","CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O",0,734.4690,258.89,0.16,258.71,258.48,259.47
"DMIM00095","p1B07","ERYTHROMYCIN","[M+Na]+","CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O",0,756.4510,263.86,0.20,264.28,264.18,263.11
"DMIM00096","p1B07","ERYTHROMYCIN","[M+K]+","CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O",0,772.4249,264.46,0.14,264.89,264.51,263.97
"DMIM00097","p1B07","ERYTHROMYCIN","[M+H-H2O]+","CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O",0,716.4584,263.53,0.55,263.51,265.32,261.75
"DMIM00101","p1B08","SANGUINARINE","[M]+","C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6",0,332.0923,166.87,0.09,166.75,166.79,167.07
"DMIM00102","p1B09","PROMETHAZINE","[M+H]+","CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C",0,285.1425,161.16,0.07,161.07,161.09,161.31
"DMIM00103","p1B09","PROMETHAZINE","[M+Na]+","CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C",0,307.1245,162.00,0.95,163.09,163.09,159.82
"DMIM00104","p1B09","PROMETHAZINE","[M+K]+","CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C",0,323.0984,164.90,0.04,164.95,164.80,164.95
"DMIM00105","p1B09","PROMETHAZINE","[M+H-H2O]+","CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C",0,267.1319,154.29,0.09,154.11,154.32,154.43
"DMIM00106","p1B11","SCOPOLAMINE","[M+H]+","C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C",0,304.1549,169.66,0.22,170.19,169.41,169.37
"DMIM00107","p1B11","SCOPOLAMINE","[M+H-H2O]+","C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C",0,286.1443,160.10,0.45,159.09,160.52,160.69
"DMIM00108","p1B13","THEOPHYLLINE","[M+H]+","CN1C2=C(C(=O)N(C1=O)C)NC=N2",0,181.0725,131.38,0.13,131.23,131.29,131.63
"DMIM00109","p1B13","THEOPHYLLINE","[M+Na]+","CN1C2=C(C(=O)N(C1=O)C)NC=N2",0,203.0545,138.87,0.10,138.71,138.83,139.05
"DMIM00110","p1B13","THEOPHYLLINE","[M+H-H2O]+","CN1C2=C(C(=O)N(C1=O)C)NC=N2",0,163.0619,124.89,0.45,125.65,124.31,124.69
"DMIM00111","p1B15","TOLNAFTATE","[M+H]+","CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2",0,308.1109,165.34,0.38,164.81,166.23,164.99
"DMIM00112","p1B15","TOLNAFTATE","[M+Na]+","CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2",0,330.0929,163.30,0.05,163.29,163.20,163.41
"DMIM00113","p1B15","TOLNAFTATE","[M+K]+","CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2",0,346.0668,166.54,0.11,166.72,166.30,166.59
"DMIM00114","p1B15","TOLNAFTATE","[M+H-H2O]+","CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2",0,290.1003,161.18,0.16,161.50,160.86,161.16
"DMIM00117","p1B17","TRIMETHOBENZAMIDE","[M+H]+","CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC",0,389.2076,192.40,0.06,192.28,192.35,192.57
"DMIM00118","p1B17","TRIMETHOBENZAMIDE","[M+H-H2O]+","CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC",0,371.1970,177.39,0.14,177.74,177.30,177.13
"DMIM00120","p1B18","DICHLORVOS","[M+H]+","COP(=O)(OC)OC=C(Cl)Cl",0,220.9537,133.97,0.20,134.31,133.93,133.67
"DMIM00121","p1B19","VINBLASTINE","[M+H]+","CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O",0,811.4282,280.25,0.30,281.14,280.51,279.11
"DMIM00122","p1B20","TEMEFOS","[M+Na]+","COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC",0,488.9795,191.86,0.06,191.79,191.77,192.03
"DMIM00123","p1B20","TEMEFOS","[M+H-H2O]+","COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC",0,448.9869,176.67,0.44,177.75,175.99,176.26
"DMIM00124","p1B21","ARMODAFINIL","[M+Na]+","C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N",0,296.0722,157.93,0.32,158.61,157.40,157.79
"DMIM00125","p1B21","ARMODAFINIL","[M+K]+","C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N",0,312.0461,160.25,0.46,161.29,159.72,159.73
"DMIM00126","p1B21","ARMODAFINIL","[M+H-H2O]+","C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N",0,256.0796,151.62,0.33,150.97,151.69,152.19
"DMIM00127","p1B22","MITOTANE","[M+H]+","C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl",0,318.9615,157.37,0.64,155.96,157.88,158.26
"DMIM00129","p1C03","METAPROTERENOL","[M+K]+","CC(C)NCC(C1=CC(=CC(=C1)O)O)O",0,250.0845,151.20,0.22,151.58,151.24,150.77
"DMIM00130","p1C03","METAPROTERENOL","[M+H-H2O]+","CC(C)NCC(C1=CC(=CC(=C1)O)O)O",0,194.1180,144.64,0.12,144.40,144.71,144.82
"DMIM00134","p1C04","SULPIRIDE","[M+H]+","CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC",0,342.1487,181.98,0.05,182.04,181.85,182.03
"DMIM00135","p1C04","SULPIRIDE","[M+Na]+","CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC",0,364.1307,189.00,0.09,188.83,189.22,188.96
"DMIM00136","p1C04","SULPIRIDE","[M+K]+","CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC",0,380.1046,189.55,0.06,189.40,189.69,189.57
"DMIM00137","p1C04","SULPIRIDE","[M+H-H2O]+","CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC",0,324.1381,168.14,0.85,166.15,168.85,169.42
"DMIM00138","p1C06","RANITIDINE","[M+H]+","CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C",0,315.1491,165.78,0.05,165.66,165.80,165.88
"DMIM00139","p1C06","RANITIDINE","[M+Na]+","CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C",0,337.1311,170.53,0.90,168.35,171.60,171.63
"DMIM00140","p1C06","RANITIDINE","[M+K]+","CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C",0,353.1050,171.78,0.39,170.87,171.99,172.48
"DMIM00141","p1C06","RANITIDINE","[M+H-H2O]+","CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C",0,297.1385,160.07,0.15,159.78,160.09,160.36
"DMIM00144","p1C08","SULOCTIDIL","[M+H]+","CCCCCCCCNC(C)C(C1=CC=C(C=C1)SC(C)C)O",0,338.2517,195.88,0.07,195.74,195.84,196.06
"DMIM00145","p1C08","SULOCTIDIL","[M+Na]+","CCCCCCCCNC(C)C(C1=CC=C(C=C1)SC(C)C)O",0,360.2337,181.83,0.57,180.36,182.66,182.48
"DMIM00146","p1C08","SULOCTIDIL","[M+K]+","CCCCCCCCNC(C)C(C1=CC=C(C=C1)SC(C)C)O",0,376.2076,190.09,3.47,181.39,197.36,191.53
"DMIM00147","p1C08","SULOCTIDIL","[M+H-H2O]+","CCCCCCCCNC(C)C(C1=CC=C(C=C1)SC(C)C)O",0,320.2411,190.29,0.12,190.59,190.01,190.27
"DMIM00155","p1C09","METHOCARBAMOL","[M+Na]+","COC1=CC=CC=C1OCC(COC(=O)N)O",0,264.0848,151.14,0.13,151.41,150.94,151.08
"DMIM00156","p1C09","METHOCARBAMOL","[M+K]+","COC1=CC=CC=C1OCC(COC(=O)N)O",0,280.0587,154.12,0.07,154.27,154.03,154.07
"DMIM00157","p1C09","METHOCARBAMOL","[M+H-H2O]+","COC1=CC=CC=C1OCC(COC(=O)N)O",0,224.0922,146.08,0.30,146.68,145.68,145.87
"DMIM00158","p1C10","RONIDAZOLE","[M+H]+","CN1C(=CN=C1COC(=O)N)[N+](=O)[O-]",0,201.0624,134.83,0.24,134.37,135.03,135.10
"DMIM00159","p1C10","RONIDAZOLE","[M+Na]+","CN1C(=CN=C1COC(=O)N)[N+](=O)[O-]",0,223.0444,145.34,0.17,145.00,145.42,145.60
"DMIM00160","p1C10","RONIDAZOLE","[M+H-H2O]+","CN1C(=CN=C1COC(=O)N)[N+](=O)[O-]",0,183.0518,132.85,0.18,132.67,133.18,132.69
"DMIM00161","p1C11","METHOTREXATE","[M+Na]+","CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O",0,477.1611,201.74,0.30,200.98,201.77,202.49
"DMIM00162","p1C11","METHOTREXATE","[M+K]+","CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O",0,493.1350,201.44,0.04,201.32,201.45,201.54
"DMIM00163","p1C11","METHOTREXATE","[M+H-H2O]+","CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O",0,437.1685,192.46,0.25,192.24,192.02,193.14
"DMIM00165","p1C12","SULFAMETER","[M+H]+","COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,281.0708,157.69,0.08,157.80,157.53,157.75
"DMIM00166","p1C12","SULFAMETER","[M+Na]+","COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,303.0528,166.41,0.10,166.58,166.19,166.47
"DMIM00167","p1C12","SULFAMETER","[M+K]+","COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,319.0267,167.04,0.12,167.21,166.77,167.15
"DMIM00168","p1C12","SULFAMETER","[M+H-H2O]+","COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,263.0602,154.62,0.12,154.79,154.36,154.70
"DMIM00170","p1C13","METHOXAMINE","[M+H]+","CC(C(C1=C(C=CC(=C1)OC)OC)O)N",0,212.1286,148.43,0.50,147.50,148.48,149.31
"DMIM00171","p1C13","METHOXAMINE","[M+K]+","CC(C(C1=C(C=CC(=C1)OC)OC)O)N",0,250.0845,151.28,0.04,151.37,151.24,151.23
"DMIM00172","p1C13","METHOXAMINE","[M+H-H2O]+","CC(C(C1=C(C=CC(=C1)OC)OC)O)N",0,194.1180,142.14,0.14,141.87,142.23,142.33
"DMIM00173","p1C14","SULFAMETHOXYPYRIDAZINE","[M+H]+","COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,281.0708,158.04,0.07,158.12,157.89,158.11
"DMIM00174","p1C14","SULFAMETHOXYPYRIDAZINE","[M+Na]+","COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,303.0528,167.28,0.39,168.16,166.62,167.05
"DMIM00175","p1C14","SULFAMETHOXYPYRIDAZINE","[M+H-H2O]+","COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N",0,263.0602,154.41,0.16,154.68,154.48,154.08
"DMIM00177","p1C15","METHYLDOPA","[M+Na]+","C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N",0,234.0743,147.60,0.20,147.20,147.71,147.88
"DMIM00178","p1C15","METHYLDOPA","[M+H-H2O]+","C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N",0,194.0817,139.57,0.70,138.91,138.85,140.95
"DMIM00179","p1C16","SUPROFEN","[M+H]+","CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O",0,261.0585,156.15,0.05,156.22,156.04,156.19
"DMIM00180","p1C16","SUPROFEN","[M+Na]+","CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O",0,283.0405,160.36,0.04,160.31,160.31,160.46
"DMIM00181","p1C16","SUPROFEN","[M+K]+","CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O",0,299.0144,165.27,0.16,165.34,164.92,165.55
"DMIM00182","p1C16","SUPROFEN","[M+H-H2O]+","CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O",0,243.0479,147.36,0.45,146.54,148.18,147.37
"DMIM00183","p1C17","METHYLPREDNISOLONE","[M+H]+","C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O",0,375.2171,185.94,0.02,185.89,185.97,185.96
"DMIM00184","p1C17","METHYLPREDNISOLONE","[M+Na]+","C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O",0,397.1991,211.31,0.10,211.51,211.03,211.38
"DMIM00185","p1C17","METHYLPREDNISOLONE","[M+H-H2O]+","C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O",0,357.2065,183.57,0.14,183.21,183.70,183.81
"DMIM00186","p1C18","SACCHARIN","[M+K]+","C1=CC=C2C(=C1)C(=O)NS2(=O)=O",0,221.9627,159.05,0.10,159.25,159.04,158.85
